Index,Salary,Location,Website,Scrape Date
Academic+And+Career+Lead+Counselor,"$47,206","Dallas, US",SimplyHired,2023-11-30
Academic+And+Discipline+Coordinator,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Assistant,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Coach,$23.25,"Dallas, US",SimplyHired,2023-11-30
Academic+Coordinator,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Counselor,"$57,032","Dallas, US",SimplyHired,2023-11-30
Academic+Dean,"$100,219","Dallas, US",SimplyHired,2023-11-30
Academic+Department+Administrator,"$76,972","Dallas, US",SimplyHired,2023-11-30
Academic+Department+Chair,$23.16,"Dallas, US",SimplyHired,2023-11-30
Academic+Department+Director,"$112,810","Dallas, US",SimplyHired,2023-11-30
Academic+Director,"$112,810","Dallas, US",SimplyHired,2023-11-30
academic+economist,"$116,687","Dallas, US",SimplyHired,2023-11-30
Academic+Faculty,"$71,333","Dallas, US",SimplyHired,2023-11-30
Academic+Fellow,"$57,499","Dallas, US",SimplyHired,2023-11-30
Academic+Foundation+Doctor,"$208,511","Dallas, US",SimplyHired,2023-11-30
Academic+Grants+Specialist,$19.88,"Dallas, US",SimplyHired,2023-11-30
Academic+Hospitalist,"$269,599","Dallas, US",SimplyHired,2023-11-30
Academic+Instructor,$24.29,"Dallas, US",SimplyHired,2023-11-30
Academic+Interventionist,"$51,074","Dallas, US",SimplyHired,2023-11-30
Academic+Librarian,"$59,538","Dallas, US",SimplyHired,2023-11-30
Academic+Library+Director,"$112,810","Dallas, US",SimplyHired,2023-11-30
﻿Academic+Life+Coach,$17.24,"Dallas, US",SimplyHired,2023-11-30
Academic+Mentor,$17.83,"Dallas, US",SimplyHired,2023-11-30
Academic+Mentor+Teacher,$17.83,"Dallas, US",SimplyHired,2023-11-30
Academic+Monitor,$15.95,"Dallas, US",SimplyHired,2023-11-30
Academic+Officer,$19.95,"Dallas, US",SimplyHired,2023-11-30
Academic+Peer+Mentor,$17.03,"Dallas, US",SimplyHired,2023-11-30
Academic+Peer+Tutor,$24.78,"Dallas, US",SimplyHired,2023-11-30
Academic+Proctor,$15.80,"Dallas, US",SimplyHired,2023-11-30
Academic+Professor,"$105,034","Dallas, US",SimplyHired,2023-11-30
Academic+Program+Administrator,"$71,358","Dallas, US",SimplyHired,2023-11-30
Academic+Program+Advisor,"$45,740","Dallas, US",SimplyHired,2023-11-30
Academic+Program+Director,"$72,007","Dallas, US",SimplyHired,2023-11-30
Academic+Program+Manager,"$87,884","Dallas, US",SimplyHired,2023-11-30
Academic+Program+Specialist,$19.35,"Dallas, US",SimplyHired,2023-11-30
Academic+Records+Coordinator,$19.31,"Dallas, US",SimplyHired,2023-11-30
Academic+Recruiter,"$61,722","Dallas, US",SimplyHired,2023-11-30
Academic+Researcher,"$92,428","Dallas, US",SimplyHired,2023-11-30
Academic+Services+Coordinator,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Services+Officer,$19.95,"Dallas, US",SimplyHired,2023-11-30
Academic+Student+Employee,$11.76,"Dallas, US",SimplyHired,2023-11-30
Academic+Success+Coach,$18.37,"Dallas, US",SimplyHired,2023-11-30
Academic+Success+Counselor,"$57,032","Dallas, US",SimplyHired,2023-11-30
Academic+Supervisor,$18.55,"Dallas, US",SimplyHired,2023-11-30
Academic+Support,$19.95,"Dallas, US",SimplyHired,2023-11-30
Academic+Support+Aide,$19.95,"Dallas, US",SimplyHired,2023-11-30
Academic+Support+Coordinator,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Support+Specialist,$18.32,"Dallas, US",SimplyHired,2023-11-30
Academic+Teacher,$18.15,"Dallas, US",SimplyHired,2023-11-30
Academic+Technology+Coordinator,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Technology+Specialist,"$62,929","Dallas, US",SimplyHired,2023-11-30
Academic+Test+Proctor,$15.80,"Dallas, US",SimplyHired,2023-11-30
Academic+Testing+Coordinator,"$50,757","Dallas, US",SimplyHired,2023-11-30
Academic+Trainer,$22.87,"Dallas, US",SimplyHired,2023-11-30
Academic+Transcript+Specialist,$19.88,"Dallas, US",SimplyHired,2023-11-30
Academic+Tutor,$24.78,"Dallas, US",SimplyHired,2023-11-30
Academic+Tutor+And+Mentor,$24.78,"Dallas, US",SimplyHired,2023-11-30
Academy+Director,"$112,810","Dallas, US",SimplyHired,2023-11-30
Academy+Manager,"$81,054","Dallas, US",SimplyHired,2023-11-30
Academy+Training+Facilitator,"$84,812","Dallas, US",SimplyHired,2023-11-30
Access+Associate,$15.67,"Dallas, US",SimplyHired,2023-11-30
Access+Code+Technical+Education+Lead,"$118,870","Dallas, US",SimplyHired,2023-11-30
Access+Control+Installer,$22.33,"Dallas, US",SimplyHired,2023-11-30
Access+Control+Officer,$16.44,"Dallas, US",SimplyHired,2023-11-30
Access+Control+Specialist,$22.33,"Dallas, US",SimplyHired,2023-11-30
