Job,Salary,Salary_Type,Location,Website,Scrape Date
CNC Machinist,"42,120",Annually,US,Onlinedegree,2023-12-01
Electrical Engineer (EE),"97,340",Annually,US,Onlinedegree,2023-12-01
Electrician,"55,590",Annually,US,Onlinedegree,2023-12-01
Helicopter Mechanic,"60,160",Annually,US,Onlinedegree,2023-12-01
Helicopter Pilot,"84,510",Annually,US,Onlinedegree,2023-12-01
Industrial Robotics Mechanic,"56,670",Annually,US,Onlinedegree,2023-12-01
Jet Engine Mechanic,"60,160",Annually,US,Onlinedegree,2023-12-01
Mechanical Drafter,"56,610",Annually,US,Onlinedegree,2023-12-01
Mechanical Engineer,"88,190",Annually,US,Onlinedegree,2023-12-01
Plant Manager,"103,720",Annually,US,Onlinedegree,2023-12-01
Production Manager,"103,720",Annually,US,Onlinedegree,2023-12-01
Robotics Technician,"56,320",Annually,US,Onlinedegree,2023-12-01
Stewardess,"46,750",Annually,US,Onlinedegree,2023-12-01
Telecommunications Engineer,"102,390",Annually,US,Onlinedegree,2023-12-01
Accounts Payable Clerk,"36,300",Annually,US,Onlinedegree,2023-12-01
Bank Branch Manager,"134,330",Annually,US,Onlinedegree,2023-12-01
Brand Manager,"140,660",Annually,US,Onlinedegree,2023-12-01
Business Analyst,"91,770",Annually,US,Onlinedegree,2023-12-01
Business Consultant,"91,770",Annually,US,Onlinedegree,2023-12-01
Business Intelligence Analyst,"87,310",Annually,US,Onlinedegree,2023-12-01
Census Worker,"32,930",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Chief Financial Officer (CFO),"134,330",Annually,US,Onlinedegree,2023-12-01
Chief Risk Officer (CRO),"72,480",Annually,US,Onlinedegree,2023-12-01
Chinese Interpreter,"48,360",Annually,US,Onlinedegree,2023-12-01
Claims Clerk,"29,900",Annually,US,Onlinedegree,2023-12-01
Collections Agent,"36,600",Annually,US,Onlinedegree,2023-12-01
Commercial Loan Reviewer,"37,920",Annually,US,Onlinedegree,2023-12-01
Compliance Officer,"88,310",Annually,US,Onlinedegree,2023-12-01
Controller,"134,330",Annually,US,Onlinedegree,2023-12-01
Corporate Lawyer,"136,260",Annually,US,Onlinedegree,2023-12-01
Customer Service Rep,"34,560",Annually,US,Onlinedegree,2023-12-01
Customs Broker,"73,480",Annually,US,Onlinedegree,2023-12-01
Data Entry Clerk,"30,810",Annually,US,Onlinedegree,2023-12-01
Economist,"109,230",Annually,US,Onlinedegree,2023-12-01
Equal Employment Opportunity Officer,"69,180",Annually,US,Onlinedegree,2023-12-01
Estate Planning Lawyer,"136,260",Annually,US,Onlinedegree,2023-12-01
Event Planner,"51,200",Annually,US,Onlinedegree,2023-12-01
Facility Manager,"40,060",Annually,US,Onlinedegree,2023-12-01
Financial Analyst,"95,320",Annually,US,Onlinedegree,2023-12-01
Funeral Director,"52,990",Annually,US,Onlinedegree,2023-12-01
General Counsel,"136,260",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Human Resources Specialist (HR),"65,100",Annually,US,Onlinedegree,2023-12-01
Industrial Organizational Psychologist (IO),"92,320",Annually,US,Onlinedegree,2023-12-01
Insurance Underwriter,"72,650",Annually,US,Onlinedegree,2023-12-01
IT Support,"52,430",Annually,US,Onlinedegree,2023-12-01
Labor Relations Specialist,"60,930",Annually,US,Onlinedegree,2023-12-01
Mail & Document Courier,"29,130",Annually,US,Onlinedegree,2023-12-01
Management Consultant,"91,770",Annually,US,Onlinedegree,2023-12-01
Market Research Analyst,"70,030",Annually,US,Onlinedegree,2023-12-01
Marketing Manager,"140,660",Annually,US,Onlinedegree,2023-12-01
Mortician,"52,990",Annually,US,Onlinedegree,2023-12-01
Mortuary Manager,"84,470",Annually,US,Onlinedegree,2023-12-01
Notary Public,"34,730",Annually,US,Onlinedegree,2023-12-01
Office Manager,"94,840",Annually,US,Onlinedegree,2023-12-01
Payroll Clerk,"42,130",Annually,US,Onlinedegree,2023-12-01
Payroll Manager,"56,170",Annually,US,Onlinedegree,2023-12-01
Receptionist,"31,890",Annually,US,Onlinedegree,2023-12-01
Regulatory Affairs Specialist,"69,180",Annually,US,Onlinedegree,2023-12-01
Retail Cashier,"20,990",Annually,US,Onlinedegree,2023-12-01
Retail Store Manager,"119,460",Annually,US,Onlinedegree,2023-12-01
Risk Management Director,"72,480",Annually,US,Onlinedegree,2023-12-01
Spanish Interpreter,"48,360",Annually,US,Onlinedegree,2023-12-01
Stock Brokerage Clerk,"51,640",Annually,US,Onlinedegree,2023-12-01
Tax Lawyer,"136,260",Annually,US,Onlinedegree,2023-12-01
Translator,"48,360",Annually,US,Onlinedegree,2023-12-01
Union Representative,"60,930",Annually,US,Onlinedegree,2023-12-01
Valet,"22,520",Annually,US,Onlinedegree,2023-12-01
Vocational Psychologist,"76,040",Annually,US,Onlinedegree,2023-12-01
3D Animator,"70,300",Annually,US,Onlinedegree,2023-12-01
Computer Programmer,"84,360",Annually,US,Onlinedegree,2023-12-01
Computer Repair Technician,"38,990",Annually,US,Onlinedegree,2023-12-01
Computer Scientist,"115,580",Annually,US,Onlinedegree,2023-12-01
Cryptographer Or Cryptologist,"112,560",Annually,US,Onlinedegree,2023-12-01
Database Administrator DBA,"84,250",Annually,US,Onlinedegree,2023-12-01
Electrical Engineer (EE),"97,340",Annually,US,Onlinedegree,2023-12-01
Graphic Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
Healthcare Informatics Specialist,"90,180",Annually,US,Onlinedegree,2023-12-01
Information Security Analyst,"93,250",Annually,US,Onlinedegree,2023-12-01
IT Specialist,"42,140",Annually,US,Onlinedegree,2023-12-01
IT Support,"52,430",Annually,US,Onlinedegree,2023-12-01
Logo Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
Network Security Analyst,"93,250",Annually,US,Onlinedegree,2023-12-01
Package Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
PHP Developer,"84,360",Annually,US,Onlinedegree,2023-12-01
Python Developer,"84,360",Annually,US,Onlinedegree,2023-12-01
RFID Engineer,"102,390",Annually,US,Onlinedegree,2023-12-01
Robotics Engineer,"98,150",Annually,US,Onlinedegree,2023-12-01
Robotics Technician,"56,320",Annually,US,Onlinedegree,2023-12-01
SEO Specialist,"87,310",Annually,US,Onlinedegree,2023-12-01
Software Engineer,"84,360",Annually,US,Onlinedegree,2023-12-01
Video Game Designer,"70,300",Annually,US,Onlinedegree,2023-12-01
Video Game Programmer,"84,360",Annually,US,Onlinedegree,2023-12-01
Website Designer,"51,640",Annually,US,Onlinedegree,2023-12-01
WordPress Developer,"84,360",Annually,US,Onlinedegree,2023-12-01
Barista,"20,590",Annually,US,Onlinedegree,2023-12-01
Butcher,"30,940",Annually,US,Onlinedegree,2023-12-01
Cafeteria Cook,"25,560",Annually,US,Onlinedegree,2023-12-01
Catering Cook,"21,940",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Pastry Chef,"26,270",Annually,US,Onlinedegree,2023-12-01
Personal Chef,"37,680",Annually,US,Onlinedegree,2023-12-01
Pizza Cook,"19,610",Annually,US,Onlinedegree,2023-12-01
Prep Cook,"19,710",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
School Cafeteria Cook,"19,710",Annually,US,Onlinedegree,2023-12-01
Sous Chef,"45,920",Annually,US,Onlinedegree,2023-12-01
Sushi Chef,"45,920",Annually,US,Onlinedegree,2023-12-01
Dental Assistant,"36,920",Annually,US,Onlinedegree,2023-12-01
Dental Hygienist,"72,720",Annually,US,Onlinedegree,2023-12-01
Dental Lab Technician,"40,520",Annually,US,Onlinedegree,2023-12-01
Dentist,"172,350",Annually,US,Onlinedegree,2023-12-01
Endodontist,"171,040",Annually,US,Onlinedegree,2023-12-01
Oral Maxillofacial Pathologist,"171,040",Annually,US,Onlinedegree,2023-12-01
Oral Surgeon,"233,900",Annually,US,Onlinedegree,2023-12-01
Oral Surgeon Assistant,"36,920",Annually,US,Onlinedegree,2023-12-01
Orthodontic Assistant,"36,920",Annually,US,Onlinedegree,2023-12-01
Orthodontist,"221,390",Annually,US,Onlinedegree,2023-12-01
Pediatric Dentist,"171,040",Annually,US,Onlinedegree,2023-12-01
#N/A,#N/A,Annually,US,Onlinedegree,2023-12-01
Periodontist,"171,040",Annually,US,Onlinedegree,2023-12-01
Adult Education Teacher,"54,060",Annually,US,Onlinedegree,2023-12-01
Adult Ministry Director,"45,160",Annually,US,Onlinedegree,2023-12-01
Arabic Instructor,"69,520",Annually,US,Onlinedegree,2023-12-01
