Index,Salary,Salary_Type,Location,Website,Scrape Date
AC+Installer,"48,750",Annually,US,Talent.com,2023-11-30
AC+Mechanic,"58,617",Annually,US,Talent.com,2023-11-30
AC+Service+Technician,"58,500",Annually,US,Talent.com,2023-11-30
AC+Specialist,"48,750",Annually,US,Talent.com,2023-11-30
AC+Technician,"52,000",Annually,US,Talent.com,2023-11-30
AC+Technician+Helper,"29,250",Annually,US,Talent.com,2023-11-30
Academic+Adjunct+Lecturer,"60,705",Annually,US,Talent.com,2023-11-30
Academic+Administrator,"57,992",Annually,US,Talent.com,2023-11-30
Academic+Advisement+Coordinator,"75,865",Annually,US,Talent.com,2023-11-30
Academic+Advisement+director,"69,000",Annually,US,Talent.com,2023-11-30
Academic+Advising+Assistant,"53,399",Annually,US,Talent.com,2023-11-30
Academic+Advising+Director,"68,280",Annually,US,Talent.com,2023-11-30
Academic+Advisor,"45,831",Annually,US,Talent.com,2023-11-30
Academic+Affairs+Administrator,"74,740",Annually,US,Talent.com,2023-11-30
Academic+Affairs+Assistant,"49,575",Annually,US,Talent.com,2023-11-30
Academic+Affairs+Consultant,"60,906",Annually,US,Talent.com,2023-11-30
Academic+Affairs+Coordinator,"52,166",Annually,US,Talent.com,2023-11-30
Academic+Affairs+Dean,"104,607",Annually,US,Talent.com,2023-11-30
Academic+Affairs+Director,"79,964",Annually,US,Talent.com,2023-11-30
Academic+Affairs+Manager,"72,504",Annually,US,Talent.com,2023-11-30
Academic+Affairs+Specialist,"53,420",Annually,US,Talent.com,2023-11-30
Academic+Aide,"29,552",Annually,US,Talent.com,2023-11-30
Academic+And+Career+Advisor,"45,178",Annually,US,Talent.com,2023-11-30
Academic+And+Career+Counselor,"69,843",Annually,US,Talent.com,2023-11-30
Academic+Assistant,"44,720",Annually,US,Talent.com,2023-11-30
Academic+Coach,"45,034",Annually,US,Talent.com,2023-11-30
Academic+Coordinator,"49,932",Annually,US,Talent.com,2023-11-30
Academic+Counselor,"58,441",Annually,US,Talent.com,2023-11-30
Academic+Dean,"93,681",Annually,US,Talent.com,2023-11-30
Academic+Department+Administrator,"50,607",Annually,US,Talent.com,2023-11-30
Academic+Department+Chair,"88,750",Annually,US,Talent.com,2023-11-30
