Job_Title,Salary,Salary_Type,Location,Website,Scrape Date
crm-specialist,"66,256",Annually,US,Zengig,30-11-2023
crna,"1,01,720",Annually,US,Zengig,30-11-2023
customer-service-director,"81,543",Annually,US,Zengig,30-11-2023
customer-service-manager,"55,546",Annually,US,Zengig,30-11-2023
customer-service-representative,"30,827",Annually,US,Zengig,30-11-2023
customer-success-manager,"56,497",Annually,US,Zengig,30-11-2023
cyber-security-analyst,"86,311",Annually,US,Zengig,30-11-2023
data-analyst,"71,772",Annually,US,Zengig,30-11-2023
data-architect,"1,02,741",Annually,US,Zengig,30-11-2023
data-engineer,"90,264",Annually,US,Zengig,30-11-2023
data-entry-clerk,"29,305",Annually,US,Zengig,30-11-2023
data-scientist,"1,01,514",Annually,US,Zengig,30-11-2023
database-administrator,"88,567",Annually,US,Zengig,30-11-2023
database-architect,"95,670",Annually,US,Zengig,30-11-2023
database-developer,"94,240",Annually,US,Zengig,30-11-2023
delivery-driver,"36,363",Annually,US,Zengig,30-11-2023
dental-assistant,"35,504",Annually,US,Zengig,30-11-2023
dental-hygienist,"62,130",Annually,US,Zengig,30-11-2023
dentist,"1,16,585",Annually,US,Zengig,30-11-2023
dermatologist,"1,73,006",Annually,US,Zengig,30-11-2023
desktop-support-technician,"56,582",Annually,US,Zengig,30-11-2023
detective,"67,479",Annually,US,Zengig,30-11-2023
devops-developer,"98,850",Annually,US,Zengig,30-11-2023
devops-engineer,"99,390",Annually,US,Zengig,30-11-2023
diagnostic-medical-sonographer,"69,810",Annually,US,Zengig,30-11-2023
dialer-administrator,"43,390",Annually,US,Zengig,30-11-2023
dialysis-technician,"38,042",Annually,US,Zengig,30-11-2023
diesel-mechanic,"40,899",Annually,US,Zengig,30-11-2023
dietary-aide,"25,152",Annually,US,Zengig,30-11-2023
dietitian,"49,224",Annually,US,Zengig,30-11-2023
digital-marketing-analyst,"54,440",Annually,US,Zengig,30-11-2023
digital-marketing-director,"90,603",Annually,US,Zengig,30-11-2023
digital-marketing-manager,"77,649",Annually,US,Zengig,30-11-2023
director-of-admissions,"61,038",Annually,US,Zengig,30-11-2023
director-of-housekeeping,"50,678",Annually,US,Zengig,30-11-2023
director-of-operations,"76,450",Annually,US,Zengig,30-11-2023
dispatcher,"36,316",Annually,US,Zengig,30-11-2023
district-attorney,"63,229",Annually,US,Zengig,30-11-2023
dnp,"94,637",Annually,US,Zengig,30-11-2023
doctor-of-physical-therapy,"75,015",Annually,US,Zengig,30-11-2023
document-control-specialist,"51,005",Annually,US,Zengig,30-11-2023
doula,"29,080",Annually,US,Zengig,30-11-2023
drilling-manager,"98,960",Annually,US,Zengig,30-11-2023
drone-pilot,"57,351",Annually,US,Zengig,30-11-2023
drupal-developer,"83,060",Annually,US,Zengig,30-11-2023
e-discovery-specialist,"59,504",Annually,US,Zengig,30-11-2023
editor-in-chief,"1,12,781",Annually,US,Zengig,30-11-2023
ekg-technician,"39,015",Annually,US,Zengig,30-11-2023
electrical-engineer,"78,977",Annually,US,Zengig,30-11-2023
electrical-power-engineer,"82,000",Annually,US,Zengig,30-11-2023
electrician,"49,043",Annually,US,Zengig,30-11-2023
electro-mechanical-technician,"56,676",Annually,US,Zengig,30-11-2023
electronics-technician,"48,406",Annually,US,Zengig,30-11-2023
elementary-school-teacher,"32,759",Annually,US,Zengig,30-11-2023
elevator-mechanic,"74,250",Annually,US,Zengig,30-11-2023
email-marketing-manager,"64,387",Annually,US,Zengig,30-11-2023
email-marketing-specialist,"48,754",Annually,US,Zengig,30-11-2023
emergency-medical-technician-(emt),"31,071",Annually,US,Zengig,30-11-2023
emt,"31,071",Annually,US,Zengig,30-11-2023
energy-attorney,"1,03,810",Annually,US,Zengig,30-11-2023
energy-consultant,"78,980",Annually,US,Zengig,30-11-2023
energy-trading-manager,"92,350",Annually,US,Zengig,30-11-2023
engineer,"74,259",Annually,US,Zengig,30-11-2023
engineering-manager,"1,17,884",Annually,US,Zengig,30-11-2023
enrollment-specialist,"32,933",Annually,US,Zengig,30-11-2023
enterprise-architect,"1,02,944",Annually,US,Zengig,30-11-2023
enterprise-software-sales-representative,"71,345",Annually,US,Zengig,30-11-2023
environmental-engineer,"85,400",Annually,US,Zengig,30-11-2023
environmental-field-technician,"35,409",Annually,US,Zengig,30-11-2023
environmental-scientist,"66,717",Annually,US,Zengig,30-11-2023
epidemiologist,"80,284",Annually,US,Zengig,30-11-2023
er-doctor,"1,51,242",Annually,US,Zengig,30-11-2023
er-nurse,"78,884",Annually,US,Zengig,30-11-2023
estate-planning-attorney,"89,421",Annually,US,Zengig,30-11-2023
esthetician,"34,649",Annually,US,Zengig,30-11-2023
etl-developer,"78,970",Annually,US,Zengig,30-11-2023
event-coordinator,"29,389",Annually,US,Zengig,30-11-2023
event-planner,"38,814",Annually,US,Zengig,30-11-2023
executive-assistant,"55,844",Annually,US,Zengig,30-11-2023
exercise-physiologist,"43,554",Annually,US,Zengig,30-11-2023
facilities-manager,"55,800",Annually,US,Zengig,30-11-2023
family-law-attorney,"75,527",Annually,US,Zengig,30-11-2023
