Job_title,Salary,Salary_Frequency,Location,Source,Scrape_Date
Administrative Assistant,"36,000 - 48,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Parking Administrative Assistant Uptown Dallas M-F 8am-5pm,"32,000 - 32,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Administrative Assistant, Private Capital Advisory","50,000 - 60,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Service Representative,,Annual,"Irving, TX",USNEWS.com,2023-12-01
Bilingual Customer Service Representative,"20,000 - 26,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Administrative Assistant - 3 WEEK CONTRACT POSITION,"34,000 - 36,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Front Office Administrator | Small, private practice","52,000 - 52,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Solar Energy Retention Representative,"52,000 - 52,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Customer Service Coordinator,,Annual,"Lewisville, TX",USNEWS.com,2023-12-01
Owner Operator Truck Driver REMOTE,"250,000 - 500,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
ReSt Team Lead Receiving,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Sales Support Specialist,"45,000 - 55,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Labeler, Packer, & Electronic Operator","28,000 - 32,000",Annual,"Euless, TX",USNEWS.com,2023-12-01
Shipping Coordinator,"38,000 - 42,000",Annual,"Richardson, TX",USNEWS.com,2023-12-01
Shipping & Receiving Associate,"36,000 - 36,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
PRAYER PARTNER,,Annual,"Irving, TX",USNEWS.com,2023-12-01
Member Services Assistant,,Annual,"Dallas, TX",USNEWS.com,2023-12-01
Sales Associate,"25,000 - 34,000",Annual,"Rowlett, TX",USNEWS.com,2023-12-01
Outbound Call Center Representative- Insurance,"30,000 - 30,000",Annual,"Irving, TX",USNEWS.com,2023-12-01
Customer Service Representative- Work From Home in TX Full & Part Time,"28,000 - 28,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Remote Sales Agent,,Annual,"Plano, TX",USNEWS.com,2023-12-01
Customer Service Representative | Weekly Pay,"45,000 - 60,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Account Executive (Laser, Photonics, Optics sales exp req)","100,000 - 120,000",Annual,"Plano, TX",USNEWS.com,2023-12-01
SAS - Full Time Retail Merchandiser,"27,000 - 33,500",Annual,"Dallas, TX",USNEWS.com,2023-12-01
"Sales Representative (Remote): Extensive Training, No Cold Calls, Bonus Provided",,Annual,"Plano, TX",USNEWS.com,2023-12-01
"Yard Jockey - Part Time - Weekend Days - Dallas, TX","42,000 - 42,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Driver Loader,"34,000 - 44,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Experienced Client Service Specialist,"32,000 - 42,500",Annual,"Frisco, TX",USNEWS.com,2023-12-01
Class A CDL Driver- Home every 5-7 days. Texas to Midwest and back!,"60,000 - 70,000",Annual,"Dallas, TX",USNEWS.com,2023-12-01
Service Supervisor (Lead Maintenance),,Annual,"Arlington, TX",USNEWS.com,2023-12-01
